"generation","filename","format_version","saved_at_unix_seconds","saved_at_local","architecture","activations","genome_parameter_count","champion_training_fitness","population_average_fitness","average_useful_progress_speed_u_s","completion_rate","completion_rate_percent","completed","collision","stalled","timeout","training_tracks","validation_track","validation_score","validation_normalized_progress","validation_progress_percent","validation_useful_progress_speed_u_s","validation_elapsed_s","validation_finish_reason","maximum_episode_duration_s","stall_timeout_s","significant_progress_epsilon_u","progress_weight","speed_weight","collision_penalty","completion_bonus","progress_speed_normalization_u_s","training_track_selection"
"425","generation_000425_1787976973.ron","1","1787976973","2026-08-29 01:16:13 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6746594","1.2620198","273.95453","0.6666667","66.66667","2","0","0","1","silverstone;red_bull_ring;catalunya","spa","1.8499999","1","100","258.1566","59.665928","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"450","generation_000450_1787977426.ron","1","1787977426","2026-08-29 01:23:46 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6877861","1.4379042","296.69812","0.6666667","66.66667","2","0","0","1","interlagos;red_bull_ring;monza","spa","1.8499999","1","100","265.72757","57.965954","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"475","generation_000475_1787977872.ron","1","1787977872","2026-08-29 01:31:12 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.506451","1.3525748","288.3796","0.33333334","33.333334","1","0","0","2","catalunya;monza;interlagos","suzuka","1.8499999","1","100","249.74402","53.66602","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"500","generation_000500_1787978317.ron","1","1787978317","2026-08-29 01:38:37 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6853844","1.3161519","279.27704","0.6666667","66.66667","2","0","0","1","silverstone;catalunya;red_bull_ring","suzuka","1.8499999","1","100","248.5092","53.932682","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"525","generation_000525_1787978761.ron","1","1787978761","2026-08-29 01:46:01 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6919705","1.4682008","297.77585","0.6666667","66.66667","2","0","0","1","interlagos;red_bull_ring;monza","suzuka","1.8499999","1","100","252.0137","53.182693","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"550","generation_000550_1787979208.ron","1","1787979208","2026-08-29 01:53:28 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.5878229","1.3729174","301.59518","0.6666667","66.66667","2","1","0","0","catalunya;monza;interlagos","spa","1.8499999","1","100","267.96185","57.482628","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"575","generation_000575_1787979653.ron","1","1787979653","2026-08-29 02:00:53 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.699109","1.3266585","287.71976","0.6666667","66.66667","2","0","0","1","interlagos;red_bull_ring;silverstone","monaco","1.286712","0.8867121","88.67121","267.65457","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"600","generation_000600_1787980097.ron","1","1787980097","2026-08-29 02:08:17 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.4473182","294.207","1","100","3","0","0","0","silverstone;monza;interlagos","spa","1.8499999","1","100","269.4462","57.165966","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"625","generation_000625_1787980544.ron","1","1787980544","2026-08-29 02:15:44 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6887406","1.3845515","280.6132","0.6666667","66.66667","2","0","0","1","silverstone;red_bull_ring;catalunya","monaco","1.2691599","0.86915994","86.915994","262.35645","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"650","generation_000650_1787980986.ron","1","1787980986","2026-08-29 02:23:06 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.581592","287.3716","1","100","3","0","0","0","red_bull_ring;monza;silverstone","suzuka","1.8499999","1","100","250.67822","53.466022","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
